names,date,budget,revenue
Creed III,03/02/2023 ,75000000.0,271616668.0
Avatar: The Way of Water,12/15/2022 ,460000000.0,2316794914.0
The Super Mario Bros. Movie,04/05/2023 ,100000000.0,724459031.0
Mummies,01/05/2023 ,12300000.0,34200000.0
Supercell,03/17/2023 ,77000000.0,340941958.6
Cocaine Bear,02/23/2023 ,35000000.0,80000000.0
John Wick: Chapter 4,03/23/2023 ,100000000.0,351349364.0
Puss in Boots: The Last Wish,12/26/2022 ,90000000.0,483480577.0
Attack on Titan,09/30/2022 ,71000000.0,254946484.2
The Park,03/02/2023 ,119200000.0,488962491.0
Winnie the Pooh: Blood and Honey,02/14/2023 ,100000.0,3200000.0
The Exorcist,11/02/2022 ,12000000.0,428214478.0
Murder Mystery 2,03/31/2023 ,43800000.0,489543087.4
Black Panther: Wakanda Forever,11/10/2022 ,250000000.0,854041058.0
The Pope's Exorcist,04/06/2023 ,92000000.0,462216471.8
Prizefighter: The Life of Jem Belcher,07/22/2022 ,77600000.0,562112551.0
Knock at the Cabin,02/02/2023 ,20000000.0,54629497.0
The Devil Conspiracy,01/13/2023 ,54060000.0,492646395.4
Cazadora,01/19/2023 ,110400000.0,318117812.6
Gold Run,12/15/2022 ,123500000.0,420430064.8
The Magician's Elephant,03/17/2023 ,82600000.0,473097256.6
Plane,01/27/2023 ,25000000.0,51000000.0
The Passion of the Christ,02/25/2004 ,25000000.0,622313635.0
Batman: The Doom That Came to Gotham,03/28/2023 ,145760000.0,321934831.2
Shazam! Fury of the Gods,03/16/2023 ,125000000.0,132107025.0
Consecration,02/10/2023 ,54060000.0,492646395.4
Shark Side of the Moon,08/12/2022 ,10000.0,17887093.8
Black Adam,10/20/2022 ,200000000.0,391261706.0
Money Shot: The Pornhub Story,03/15/2023 ,68500000.0,280052393.0
M3GAN,01/12/2023 ,12000000.0,167643991.0
Ant-Man and the Wasp: Quantumania,02/16/2023 ,200000000.0,466001332.0
Sayen,03/03/2023 ,73800000.0,370426090.8
Die Hart,02/24/2023 ,113000000.0,369995579.2
13 Exorcisms,11/04/2022 ,2480000.0,1891519.0
H.P. Lovecraft's Witch House,06/29/2022 ,146740000.0,301123555.2
John Wick: Chapter 2,05/18/2017 ,40000000.0,171539887.0
Sick,09/24/2022 ,81800000.0,408307377.8
Black Warrant,03/01/2023 ,116000000.0,378399280.8
Shotgun Wedding,01/26/2023 ,16050000.0,4495365.0
John Wick: Chapter 3 - Parabellum,05/16/2019 ,55000000.0,326709727.0
Legion of Super-Heroes,02/07/2023 ,113400000.0,778431865.2
Fall,09/22/2022 ,3000000.0,16120263.0
Lord of the Streets,04/22/2022 ,1000000.0,22790427.2
Little Dixie,02/03/2023 ,141340000.0,748525217.4
The Whale,02/02/2023 ,3000000.0,36752010.0
Prey for the Devil,10/28/2022 ,27240305.0,37655699.0
Bandit,09/23/2022 ,115000000.0,484414431.0
Roald Dahl's Matilda the Musical,12/08/2022 ,25000000.0,13276499.0
The Simpsons Meet the Bocellis in Feliz Navidad,12/15/2022 ,97200000.0,425726914.4
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,02/25/2021 ,15800000.0,503063688.0
Huesera: The Bone Woman,02/23/2023 ,135000000.0,670271186.2
The Last Heretic,11/09/2022 ,122400000.0,344127931.8
JUNG_E,01/20/2023 ,66240000.0,580188584.0
A Man Called Otto,01/01/2023 ,50000000.0,108973274.0
Champions,03/09/2023 ,51880004.0,9263009.0
Dungeons & Dragons: Honor Among Thieves,03/30/2023 ,150000000.0,158598670.0
Troll,12/01/2022 ,121400000.0,977795653.4
Sonic the Hedgehog 2,03/31/2022 ,90000000.0,405421518.0
A Bronx Tale,05/20/1994 ,10000000.0,17287898.0
Big Trip 2: Special Delivery,01/19/2023 ,95200000.0,416119951.4
Encanto at the Hollywood Bowl,12/28/2022 ,127000000.0,533207056.8
The Forbidden Legend: Sex & Chopsticks 2,03/04/2009 ,89600000.0,318375960.2
Top Gun: Maverick,05/26/2022 ,170000000.0,1481369482.0
On a Wing and a Prayer,04/06/2023 ,147400000.0,445526734.8
Sniper: The White Raven,08/24/2022 ,1000000.0,102414815.2
The Enforcer,12/01/2022 ,1261569.0,102023958.0
Diabolik - Ginko Attacks,11/17/2022 ,21680000.0,1228459.0
Scream VI,03/09/2023 ,35000000.0,167273149.0
Avatar,12/17/2009 ,237000000.0,2923706026.0
Breaking,08/26/2022 ,72000000.0,318039059.2
Tetris,03/31/2023 ,172000000.0,594334899.0
65,03/09/2023 ,45000000.0,56072012.0
Thor: Love and Thunder,07/06/2022 ,250000000.0,760928081.0
Arctic Void,01/14/2022 ,147200000.0,872776677.4
Terrifier 2,10/28/2022 ,250000.0,12964783.0
John Wick,11/26/2014 ,30000000.0,75958800.0
Spider-Man: No Way Home,12/16/2021 ,200000000.0,1910048245.0
R.I.P.D. 2: Rise of the Damned,11/15/2022 ,52000000.0,539054106.6
Dolphin Boy,04/07/2022 ,115000000.0,489779661.0
Guillermo del Toro's Pinocchio,11/24/2022 ,35000000.0,81567666.2
A Frozen Rooster,12/14/2022 ,113880000.0,604874932.2
Dragon Ball Super: Super Hero,08/18/2022 ,43602530.2,86562140.0
Nocebo,11/04/2022 ,112000000.0,586323916.4
Prey,08/05/2022 ,65000000.0,0.0
Hex,11/01/2022 ,117480000.0,457839055.6
Medieval,09/09/2022 ,23000000.0,4311284.0
Barbie: Skipper and the Big Babysitting Adventure,03/16/2023 ,134400000.0,716009340.2
Super Mario Bros.,06/10/1993 ,42000000.0,20844907.0
Transfusion,01/05/2023 ,104580000.0,260353036.4
Jurassic World Dominion,06/09/2022 ,165000000.0,1001978080.0
The Boss Baby: Christmas Bonus,12/06/2022 ,51000000.0,455134472.8
Shazam!,04/04/2019 ,85000000.0,363563907.0
El último hombre sobre la Tierra,12/22/2022 ,100000000.0,246367071.0
All Quiet on the Western Front,10/13/2022 ,20000000.0,326479707.4
Violent Night,12/01/2022 ,20000000.0,76599607.0
Scream,01/13/2022 ,24000000.0,138874789.0
Scream,01/13/2022 ,15000000.0,173046640.0
Devotion,01/20/2023 ,90000000.0,20000000.0
The Woman King,10/27/2022 ,50000000.0,94374749.0
Evil Dead Rise,04/20/2023 ,132500000.0,469254456.2
Perfect Addiction,02/16/2023 ,79800000.0,387664307.6
Project Gemini,01/06/2022 ,134000000.0,308786595.8
Doctor Strange in the Multiverse of Madness,05/05/2022 ,200000000.0,952224986.0
There Are No Saints,07/01/2022 ,136400000.0,194565354.0
Avengers: Infinity War,04/25/2018 ,300000000.0,2048359754.0
Smile,09/23/2022 ,17000000.0,216049734.0
¡Que Viva México!,03/23/2023 ,100100000.0,947468745.8
Detective Knight: Independence,01/20/2023 ,134200000.0,772865923.6
Strange World,11/24/2022 ,135000000.0,69566884.0
The Ten Commandments,12/12/1958 ,13500000.0,85433929.0
The Ten Commandments,12/12/1958 ,10000000.0,1051907.0
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,03/29/2019 ,129000000.0,645532173.4
Four's a Crowd,10/28/2022 ,110000000.0,271669045.6
Minions: The Rise of Gru,07/04/2022 ,80000000.0,939200081.0
Creed II,12/06/2018 ,50000000.0,213591522.0
Creed,11/26/2015 ,37000000.0,173567581.0
Beast,08/25/2022 ,36000000.0,59103794.0
Fast X,05/19/2023 ,340000000.0,0.0
My Name Is Vendetta,11/30/2022 ,113000000.0,365992130.6
Wrath of Man,04/29/2021 ,40000000.0,103913405.0
Jeepers Creepers: Reborn,09/22/2022 ,5000000.0,5954938.0
Turning Red,03/11/2022 ,175000000.0,10964971.0
Encanto,11/28/2021 ,150000000.0,231120602.0
Prancer: A Christmas Tale,11/22/2022 ,86800000.0,284184080.0
Magic Mike's Last Dance,02/09/2023 ,45000000.0,52000000.0
"Lyle, Lyle, Crocodile",12/26/2022 ,50000000.0,107644101.0
The Penitent Thief,02/25/2021 ,15160689.0,23800.0
Hacksaw Ridge,10/07/2016 ,40000000.0,169023926.0
Venus,12/02/2022 ,6000000.0,7818479.0
The Offering,09/23/2022 ,103600000.0,134150172.6
Jujutsu Kaisen 0,03/17/2022 ,21835777.0,195870885.0
The Batman,03/02/2022 ,200000000.0,766326717.0
Life in a Year,11/27/2020 ,90000000.0,627851111.8
Super Mario Brothers: Great Mission to Rescue Princess Peach,07/20/1986 ,151600000.0,675230189.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/26/2005 ,180000000.0,745013115.0
The Exorcism of God,07/01/2022 ,1500000.0,123516163.2
Ghosts of the Ozarks,02/04/2022 ,113000000.0,548624602.6
Kompromat,12/01/2022 ,155140000.0,302915354.0
Matadero,12/09/2022 ,73800000.0,346352260.6
Air,04/05/2023 ,28519270.6,5000000.0
Disenchanted,11/18/2022 ,142600000.0,524597714.8
Luck,08/05/2022 ,147000000.0,721203091.4
Bullet Train,08/04/2022 ,85900000.0,238534963.0
Night at the Museum: Kahmunrah Rises Again,12/09/2022 ,124400000.0,508761361.2
Blade of the 47 Ronin,10/25/2022 ,131000000.0,431341845.4
Sing 2,12/26/2021 ,85000000.0,404655351.0
Shark Bait,06/06/2022 ,106000000.0,591557010.2
Shrek,06/21/2001 ,50000000.0,491812794.0
Orgasm Inc: The Story of OneTaste,11/05/2022 ,77400000.0,431611098.0
In His Shadow,03/17/2023 ,133000000.0,407446362.4
Savage Salvation,12/02/2022 ,85645.0,244880855.2
Sisu,01/27/2023 ,6200000.0,58748957.6
"Tango, Tequila and Some Lies",03/09/2023 ,105800000.0,667037174.8
Hotel Transylvania: Transformania,01/14/2022 ,116000000.0,557205138.2
Operation Fortune: Ruse de Guerre,01/12/2023 ,50000000.0,35800000.0
Kids vs. Aliens,01/20/2023 ,143200000.0,514828593.6
Everything Everywhere All at Once,04/14/2022 ,25000000.0,114900000.0
Glass Onion: A Knives Out Mystery,11/23/2022 ,40000000.0,13280000.0
Suro,12/02/2022 ,80000000.0,522029092.4
The Lair,08/25/2022 ,118200000.0,307351568.6
My Hero Academia: World Heroes' Mission,10/28/2021 ,27164600.0,38410729.0
Unhappily Ever After,01/26/2023 ,149000000.0,1109873157.4
Evil Eye,09/22/2022 ,1704500.0,223147806.6
Inspector Sun and the Curse of the Black Widow,12/28/2022 ,98140000.0,494358731.6
The Price We Pay,01/13/2023 ,126800000.0,985255868.8
Lupin The 3rd vs. Cat’s Eye,01/27/2023 ,89600000.0,367393887.6
Murder Mystery,05/25/2019 ,24000000.0,205809600.8
Luz Mala,11/17/2022 ,87600000.0,817860943.8
Babylon,01/19/2023 ,110000000.0,63262638.0
The Lost City,03/30/2022 ,74000000.0,182921990.0
The Lost City,03/30/2022 ,9600000.0,5256839.0
Detective Knight: Rogue,10/21/2022 ,50000000.0,725034225.6
Cop Secret,10/20/2021 ,58100000.0,651717830.0
The Quintessential Quintuplets Movie,12/01/2022 ,2937023.8,17288993.0
Harry Potter and the Chamber of Secrets,11/28/2002 ,100000000.0,874954530.0
Kill Boksoon,03/31/2023 ,119100000.0,763309047.0
Candy Land,01/06/2023 ,54060000.0,492646395.4
Venom: Let There Be Carnage,11/25/2021 ,110000000.0,506863592.0
